time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/15/2025 10:15,147.468,147.489,147.417,147.441,1151,21,43.30540161,-1,-1,-1,-1,0.063638458,-0.44,2,-1,0.027,0.072,0.43,1.14,-1,HOLD
9/15/2025 10:30,147.441,147.444,147.361,147.412,1593,20,40.59639282,-1,-1,-1,-1,0.065022146,-0.46,2,-1,0.029,0.083,0.46,1.3,-1,HOLD
9/15/2025 10:45,147.413,147.482,147.41,147.456,1058,20,46.10516545,-1,1,1,1,0.065520806,0.68,2,1,0.043,0.072,0.66,1.11,1,HOLD
9/15/2025 11:00,147.457,147.471,147.409,147.422,1454,20,42.80209399,1,-1,-1,-1,0.065269207,-0.52,2,-1,0.035,0.062,0.53,0.95,-1,HOLD
9/15/2025 11:15,147.421,147.426,147.365,147.413,968,20,41.94544778,-1,-1,-1,-1,0.064964136,-0.14,2,-1,0.008,0.061,0.12,0.93,-1,HOLD
9/15/2025 11:30,147.414,147.453,147.364,147.436,1075,20,44.9762439,-1,1,1,-1,0.066681649,0.35,2,1,0.022,0.089,0.34,1.37,1,HOLD
9/15/2025 11:45,147.434,147.454,147.389,147.396,962,22,40.97028687,1,-1,1,1,0.066561488,-0.6,2,-1,0.038,0.065,0.57,0.97,-1,HOLD
9/15/2025 12:00,147.398,147.417,147.363,147.369,771,21,38.47893751,-1,-1,-1,-1,0.065663939,-0.41,2,-1,0.029,0.054,0.44,0.81,-1,HOLD
9/15/2025 12:15,147.369,147.385,147.326,147.33,821,21,35.15370333,-1,-1,-1,-1,0.065187796,-0.59,2,-1,0.039,0.059,0.59,0.9,-1,HOLD
9/15/2025 12:30,147.331,147.377,147.297,147.366,868,22,40.28367335,-1,1,-1,-1,0.066246115,0.55,2,1,0.035,0.08,0.54,1.23,1,HOLD
9/15/2025 12:45,147.368,147.403,147.344,147.355,759,20,39.26162191,1,-1,1,1,0.065728397,-0.17,2,-1,0.013,0.059,0.2,0.89,-1,HOLD
9/15/2025 13:00,147.356,147.362,147.294,147.313,840,20,35.55262364,-1,-1,-1,-1,0.065890695,-0.64,2,-1,0.043,0.068,0.65,1.03,-1,HOLD
9/15/2025 13:15,147.313,147.32,147.235,147.265,1170,21,31.84950435,-1,-1,-1,-1,0.06725596,-0.73,2,-1,0.048,0.085,0.73,1.29,-1,HOLD
9/15/2025 13:30,147.264,147.325,147.259,147.324,829,20,40.10732114,-1,1,1,1,0.067166229,0.88,2,1,0.06,0.066,0.89,0.98,1,HOLD
9/15/2025 13:45,147.323,147.395,147.323,147.381,729,21,46.81254062,1,1,1,1,0.067511567,0.85,2,1,0.058,0.072,0.86,1.07,1,TP
9/15/2025 14:00,147.381,147.388,147.328,147.331,631,20,42.33519466,1,-1,-1,1,0.066974928,-0.74,2,-1,0.05,0.06,0.74,0.89,-1,WAIT
9/15/2025 14:15,147.33,147.381,147.312,147.369,688,22,46.52154499,-1,1,-1,-1,0.067119601,0.57,2,1,0.039,0.069,0.58,1.03,1,WAIT
9/15/2025 14:30,147.369,147.467,147.356,147.452,952,21,54.32186286,1,1,1,1,0.070254414,1.24,2,1,0.083,0.111,1.24,1.65,1,WAIT
9/15/2025 14:45,147.453,147.454,147.384,147.403,823,21,49.71190917,1,-1,-1,1,0.070236239,-0.7,2,-1,0.05,0.07,0.71,1,-1,WAIT
9/15/2025 15:00,147.403,147.405,147.331,147.361,1089,20,46.10058683,-1,-1,-1,-1,0.070505116,-0.6,2,-1,0.042,0.074,0.6,1.05,-1,WAIT
